timestamp,topic,value,status
2026-05-04 09:52:55,aquanet/water/turbidity,25.0,ALERT - Turbidity 25.0 NTU exceeds 5.0
2026-05-04 09:52:55,aquanet/water/ecoli,2900.0,ALERT - E.coli 2900.0 CFU/100ml exceeds 540.0
2026-05-04 09:52:55,aquanet/water/ph,7.06,OK
2026-05-04 09:52:55,aquanet/water/nitrate,0.53,OK
2026-05-04 09:52:55,aquanet/hydraulic/pressure,5.18,ALERT - Pressure 5.18 bar exceeds 5.0
2026-05-04 09:52:55,aquanet/hydraulic/flowrate,95.0,OK
2026-05-04 09:52:55,aquanet/alerts,ALERT E.COLI: 2900.0 CFU/100ml exceeds NPS-FM limit of 540.0 - BACTERIAL CONTAMINATION DETECTED,ALERT
2026-05-04 09:52:55,aquanet/alerts,ALERT TURBIDITY: 25.0 NTU exceeds 5.0 NTU - TREATMENT REQUIRED,ALERT
2026-05-04 09:52:55,aquanet/alerts,ALERT PRESSURE HIGH: 5.18 bar exceeds 5.0 bar - PIPE BURST RISK,ALERT
2026-05-04 09:53:05,aquanet/water/turbidity,21.0,ALERT - Turbidity 21.0 NTU exceeds 5.0
2026-05-04 09:53:05,aquanet/water/ecoli,1200.0,ALERT - E.coli 1200.0 CFU/100ml exceeds 540.0
2026-05-04 09:53:05,aquanet/water/ph,6.91,OK
2026-05-04 09:53:05,aquanet/water/nitrate,0.69,OK
2026-05-04 09:53:05,aquanet/hydraulic/pressure,3.42,OK
2026-05-04 09:53:05,aquanet/hydraulic/flowrate,91.4,OK
2026-05-04 09:53:05,aquanet/alerts,ALERT E.COLI: 1200.0 CFU/100ml exceeds NPS-FM limit of 540.0 - BACTERIAL CONTAMINATION DETECTED,ALERT
2026-05-04 09:53:05,aquanet/alerts,ALERT TURBIDITY: 21.0 NTU exceeds 5.0 NTU - TREATMENT REQUIRED,ALERT
2026-05-04 09:53:15,aquanet/water/turbidity,17.0,ALERT - Turbidity 17.0 NTU exceeds 5.0
2026-05-04 09:53:15,aquanet/water/ecoli,2500.0,ALERT - E.coli 2500.0 CFU/100ml exceeds 540.0
2026-05-04 09:53:15,aquanet/water/ph,6.93,OK
2026-05-04 09:53:15,aquanet/water/nitrate,0.53,OK
2026-05-04 09:53:15,aquanet/hydraulic/pressure,3.28,OK
2026-05-04 09:53:15,aquanet/hydraulic/flowrate,74.5,OK
2026-05-04 09:53:15,aquanet/alerts,ALERT E.COLI: 2500.0 CFU/100ml exceeds NPS-FM limit of 540.0 - BACTERIAL CONTAMINATION DETECTED,ALERT
2026-05-04 09:53:15,aquanet/alerts,ALERT TURBIDITY: 17.0 NTU exceeds 5.0 NTU - TREATMENT REQUIRED,ALERT
2026-05-04 09:53:25,aquanet/water/turbidity,11.0,ALERT - Turbidity 11.0 NTU exceeds 5.0
2026-05-04 09:53:25,aquanet/water/ecoli,1300.0,ALERT - E.coli 1300.0 CFU/100ml exceeds 540.0
2026-05-04 09:53:25,aquanet/water/ph,6.85,OK
2026-05-04 09:53:25,aquanet/water/nitrate,0.57,OK
2026-05-04 09:53:25,aquanet/hydraulic/pressure,3.2,OK
2026-05-04 09:53:25,aquanet/hydraulic/flowrate,91.8,OK
2026-05-04 09:53:25,aquanet/alerts,ALERT E.COLI: 1300.0 CFU/100ml exceeds NPS-FM limit of 540.0 - BACTERIAL CONTAMINATION DETECTED,ALERT
2026-05-04 09:53:25,aquanet/alerts,ALERT TURBIDITY: 11.0 NTU exceeds 5.0 NTU - TREATMENT REQUIRED,ALERT
2026-05-04 09:53:35,aquanet/water/turbidity,18.0,ALERT - Turbidity 18.0 NTU exceeds 5.0
2026-05-04 09:53:35,aquanet/water/ecoli,27000.0,ALERT - E.coli 27000.0 CFU/100ml exceeds 540.0
2026-05-04 09:53:35,aquanet/water/ph,6.95,OK
2026-05-04 09:53:35,aquanet/water/nitrate,0.27,OK
2026-05-04 09:53:35,aquanet/hydraulic/pressure,5.36,ALERT - Pressure 5.36 bar exceeds 5.0
2026-05-04 09:53:35,aquanet/hydraulic/flowrate,83.3,OK
2026-05-04 09:53:35,aquanet/alerts,ALERT E.COLI: 27000.0 CFU/100ml exceeds NPS-FM limit of 540.0 - BACTERIAL CONTAMINATION DETECTED,ALERT
2026-05-04 09:53:35,aquanet/alerts,ALERT TURBIDITY: 18.0 NTU exceeds 5.0 NTU - TREATMENT REQUIRED,ALERT
2026-05-04 09:53:35,aquanet/alerts,ALERT PRESSURE HIGH: 5.36 bar exceeds 5.0 bar - PIPE BURST RISK,ALERT
2026-05-04 09:53:45,aquanet/water/turbidity,7.8,ALERT - Turbidity 7.8 NTU exceeds 5.0
2026-05-04 09:53:45,aquanet/water/ecoli,810.0,ALERT - E.coli 810.0 CFU/100ml exceeds 540.0
2026-05-04 09:53:45,aquanet/water/ph,6.24,ALERT - pH 6.24 below minimum 6.5
2026-05-04 09:53:45,aquanet/water/nitrate,0.012,OK
2026-05-04 09:53:45,aquanet/hydraulic/pressure,2.89,OK
2026-05-04 09:53:45,aquanet/hydraulic/flowrate,78.2,OK
2026-05-04 09:53:45,aquanet/alerts,ALERT E.COLI: 810.0 CFU/100ml exceeds NPS-FM limit of 540.0 - BACTERIAL CONTAMINATION DETECTED,ALERT
