Region,Agency,Catchment,LawaSiteID,SiteID,CouncilSiteID,Latitude,Longitude,WFSLanduse,WFSAltitude,RECLandcover,Indicator,SampleDateTime,Timezone,AgencyRawValue,Symbol,Value,Units,QCNumber (Agency value),QCNEMSEquivalent
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2012-01-06 07:38:00,NZST,0.06,,0.06,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2012-02-02 08:52:00,NZST,0.076,,0.076,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2012-03-01 08:56:00,NZST,0.04,,0.04,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2012-04-03 08:46:00,NZST,0.054,,0.054,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2012-05-04 09:46:00,NZST,0.028,,0.028,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2012-06-07 09:36:00,NZST,0.033,,0.033,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2012-07-05 09:37:00,NZST,<0.005,<,0.005,mg/l,16393.0,610.0
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2012-08-02 09:27:00,NZST,0.029,,0.029,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2012-09-04 08:41:00,NZST,0.028,,0.028,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2012-10-04 08:11:00,NZST,0.047,,0.047,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2012-11-02 08:13:00,NZST,0.069,,0.069,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2012-12-05 08:24:00,NZST,0.058,,0.058,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2013-01-09 07:42:00,NZST,0.083,,0.083,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2013-02-07 08:20:00,NZST,0.06,,0.06,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2013-03-08 08:33:00,NZST,0.053,,0.053,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2013-04-04 08:37:00,NZST,0.014,,0.014,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2013-05-02 09:52:00,NZST,0.026,,0.026,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2013-06-11 10:21:00,NZST,<0.005,<,0.005,mg/l,16393.0,610.0
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2013-07-02 09:37:00,NZST,0.045,,0.045,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2013-07-31 09:30:00,NZST,0.028,,0.028,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2013-09-05 09:43:00,NZST,0.17,,0.17,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2013-10-09 08:49:00,NZST,0.054,,0.054,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2013-11-06 07:32:00,NZST,0.021,,0.021,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2013-12-04 12:01:00,NZST,0.041,,0.041,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2014-01-09 07:29:00,NZST,0.055,,0.055,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2014-02-05 08:27:00,NZST,0.038,,0.038,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2014-03-06 08:28:00,NZST,0.019,,0.019,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2014-04-03 08:49:00,NZST,0.03,,0.03,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2014-05-02 09:27:00,NZST,0.17,,0.17,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2014-06-04 09:53:00,NZST,0.072,,0.072,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2014-07-03 09:22:00,NZST,0.021,,0.021,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2014-08-05 09:40:00,NZST,0.61,,0.61,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2014-09-04 09:29:00,NZST,0.036,,0.036,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2014-10-10 08:25:00,NZST,0.054,,0.054,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2014-11-06 08:21:00,NZST,0.037,,0.037,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2014-12-02 09:30:00,NZST,0.024,,0.024,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2015-01-08 09:20:00,NZST,0.038,,0.038,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2015-02-05 09:23:00,NZST,0.027,,0.027,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2015-03-05 09:32:00,NZST,0.036,,0.036,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2015-04-02 12:01:00,NZST,0.049,,0.049,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2015-05-01 07:53:00,NZST,0.043,,0.043,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2015-06-03 07:56:00,NZST,0.023,,0.023,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2015-07-01 08:32:00,NZST,0.022,,0.022,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2015-08-03 08:28:00,NZST,0.052,,0.052,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2015-09-10 08:31:00,NZST,0.065,,0.065,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2015-10-01 07:02:00,NZST,0.025,,0.025,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2015-11-02 07:23:00,NZST,0.032,,0.032,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2015-12-01 07:20:00,NZST,0.025,,0.025,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2016-01-25 07:55:00,NZST,0.041,,0.041,mg/l,,
auckland,Auckland Council,Avondale,arc-00036,Avondale @ Shadbolt,8019,-36.9232796,174.69177898,Urban,Lowland,Urban,Ammoniacal nitrogen,2016-02-15 07:51:00,NZST,0.049,,0.049,mg/l,,
